sales_person,country,product,date,amount,boxes_shipped
Jan Morforth,Uk,Almond Choco,2022-07-06,9744.0,157
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94
Barr Faughny,Uk,Mint Chip Choco,2022-07-07,3724.0,316
Dennison Crosswaite,India,Smooth Sliky Salty,2022-07-07,2975.0,9
Jehu Rudeforth,Usa,Smooth Sliky Salty,2022-07-07,6657.0,154
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92
Brien Boise,Usa,Milk Bars,2022-07-07,14301.0,130
Kelci Walkden,Canada,Milk Bars,2022-07-07,16016.0,28
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111
Jehu Rudeforth,Uk,85% Dark Bars,2022-07-07,5502.0,64
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,8673.0,60
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91
Curtice Advani,Canada,99% Dark & Pure,2022-07-07,12586.0,7
Husein Augar,Usa,Eclairs,2022-07-07,4025.0,112
Andria Kimpton,Canada,Smooth Sliky Salty,2022-07-08,1155.0,79
Gigi Bohling,Australia,Caramel Stuffed Bars,2022-07-08,8001.0,151
Marney O'Breen,New Zealand,Organic Choco Syrup,2022-07-08,8624.0,50
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56
Karlen Mccaffrey,Australia,Almond Choco,2022-07-08,7294.0,128
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10
Curtice Advani,Usa,Spicy Special Slims,2022-07-11,1603.0,264
Ches Bonnell,Uk,Smooth Sliky Salty,2022-07-11,5663.0,110
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138
Van Tuxwell,Uk,85% Dark Bars,2022-07-11,3577.0,134
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241
Marney O'Breen,India,After Nines,2022-07-11,2639.0,179
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2022-07-11,3724.0,234
Gigi Bohling,Canada,White Choc,2022-07-11,6587.0,4
Oby Sorrel,Uk,Milk Bars,2022-07-11,6468.0,223
Dennison Crosswaite,Usa,Caramel Stuffed Bars,2022-07-11,2317.0,464
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2022-07-11,6426.0,98
Rafaelita Blaksland,Canada,Drinking Coco,2022-07-12,9884.0,200
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136
Brien Boise,New Zealand,Baker'S Choco Chips,2022-07-12,5978.0,24
Wilone O'Kielt,Uk,Organic Choco Syrup,2022-07-12,4858.0,52
Curtice Advani,Uk,Drinking Coco,2022-07-12,455.0,174
Husein Augar,Usa,White Choc,2022-07-13,2030.0,60
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88
Van Tuxwell,Australia,50% Dark Bites,2022-07-13,644.0,137
Jan Morforth,Canada,After Nines,2022-07-13,4515.0,172
Dotty Strutley,Usa,Fruit & Nut Bars,2022-07-13,2898.0,276
Curtice Advani,Australia,Almond Choco,2022-07-13,2912.0,75
Dotty Strutley,Uk,Mint Chip Choco,2022-07-14,2443.0,216
Karlen Mccaffrey,India,Mint Chip Choco,2022-07-15,10990.0,184
Karlen Mccaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312
Andria Kimpton,Usa,Fruit & Nut Bars,2022-07-15,1456.0,359
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173
Karlen Mccaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264
Wilone O'Kielt,Usa,Milk Bars,2022-07-15,5012.0,93
Ches Bonnell,New Zealand,Organic Choco Syrup,2022-07-15,7623.0,85
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46
Oby Sorrel,Uk,After Nines,2022-07-18,2345.0,104
Dennison Crosswaite,Usa,Organic Choco Syrup,2022-07-18,12656.0,126
Gigi Bohling,Uk,50% Dark Bites,2022-07-18,8197.0,69
Marney O'Breen,Uk,Caramel Stuffed Bars,2022-07-19,3549.0,112
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179
Barr Faughny,Canada,50% Dark Bites,2022-07-19,10185.0,303
Camilla Castle,Uk,Peanut Butter Cubes,2022-07-19,4872.0,126
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294
Ches Bonnell,Usa,Milk Bars,2022-07-21,2408.0,157
Camilla Castle,New Zealand,Peanut Butter Cubes,2022-07-21,1582.0,62
Oby Sorrel,India,Drinking Coco,2022-07-21,16380.0,130
Kelci Walkden,Usa,Organic Choco Syrup,2022-07-21,9870.0,152
Madelene Upcott,Uk,Organic Choco Syrup,2022-07-21,6965.0,163
Kaine Padly,Usa,Caramel Stuffed Bars,2022-07-21,5593.0,122
Andria Kimpton,Canada,Manuka Honey Choco,2022-07-21,4858.0,488
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106
Gigi Bohling,Usa,Smooth Sliky Salty,2022-07-22,2583.0,126
Jan Morforth,Usa,Peanut Butter Cubes,2022-07-22,9037.0,102
Roddy Speechley,Usa,Manuka Honey Choco,2022-07-22,9583.0,315
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6
Andria Kimpton,Uk,99% Dark & Pure,2022-07-25,1155.0,66
Van Tuxwell,Uk,Milk Bars,2022-07-25,4263.0,90
Jan Morforth,Canada,Fruit & Nut Bars,2022-07-25,8904.0,199
Brien Boise,Usa,99% Dark & Pure,2022-07-25,6769.0,353
Oby Sorrel,Usa,Manuka Honey Choco,2022-07-25,4340.0,86
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217
Mallorie Waber,India,White Choc,2022-07-26,819.0,213
Kelci Walkden,Usa,Drinking Coco,2022-07-26,6454.0,160
Van Tuxwell,Usa,After Nines,2022-07-26,630.0,264
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139
Marney O'Breen,Australia,Choco Coated Almonds,2022-07-27,11298.0,41
Brien Boise,Australia,Drinking Coco,2022-07-27,6832.0,156
Camilla Castle,Canada,70% Dark Bites,2022-07-27,9716.0,151
Rafaelita Blaksland,Usa,Smooth Sliky Salty,2022-07-27,15057.0,212
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99
Brien Boise,Australia,Milk Bars,2022-07-27,1981.0,52
Jehu Rudeforth,Usa,Orange Choco,2022-07-28,364.0,170
Dotty Strutley,Uk,Almond Choco,2022-07-28,16114.0,96
Beverie Moffet,Usa,50% Dark Bites,2022-07-28,2450.0,352
Kelci Walkden,India,Mint Chip Choco,2022-07-28,2870.0,120
Ches Bonnell,Usa,Organic Choco Syrup,2022-07-28,7721.0,14
Van Tuxwell,Usa,99% Dark & Pure,2022-07-28,12586.0,6
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202
Jan Morforth,New Zealand,Manuka Honey Choco,2022-07-28,1589.0,271
Gunar Cockshoot,Canada,Almond Choco,2022-07-28,1309.0,30
Karlen Mccaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952.0,24
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66
Barr Faughny,India,After Nines,2022-07-29,8190.0,109
Barr Faughny,Australia,Caramel Stuffed Bars,2022-07-29,2933.0,55
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2022-08-01,7119.0,101
Dennison Crosswaite,Canada,85% Dark Bars,2022-08-01,10885.0,90
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181
Jan Morforth,India,Baker'S Choco Chips,2022-08-01,13727.0,79
Kelci Walkden,Uk,Orange Choco,2022-08-01,3640.0,3
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62
Mallorie Waber,Australia,Almond Choco,2022-08-01,7882.0,125
Dotty Strutley,Australia,Mint Chip Choco,2022-08-01,6790.0,25
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403
Curtice Advani,Canada,Smooth Sliky Salty,2022-08-01,2660.0,12
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995.0,78
Karlen Mccaffrey,Canada,Spicy Special Slims,2022-08-02,6328.0,47
Jan Morforth,Uk,Caramel Stuffed Bars,2022-08-02,3094.0,468
Camilla Castle,India,99% Dark & Pure,2022-08-02,203.0,207
Jan Morforth,Canada,Caramel Stuffed Bars,2022-08-02,9541.0,114
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117
Karlen Mccaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40
Beverie Moffet,New Zealand,Baker'S Choco Chips,2022-08-03,1372.0,144
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,4347.0,238
Kaine Padly,Uk,Choco Coated Almonds,2022-08-03,8022.0,123
Rafaelita Blaksland,Australia,Manuka Honey Choco,2022-08-03,4396.0,131
Kaine Padly,Usa,50% Dark Bites,2022-08-03,70.0,27
Rafaelita Blaksland,Uk,Spicy Special Slims,2022-08-03,9345.0,133
Dennison Crosswaite,Uk,White Choc,2022-08-03,7238.0,265
Wilone O'Kielt,Australia,50% Dark Bites,2022-08-03,10031.0,114
Jan Morforth,India,Smooth Sliky Salty,2022-08-03,11298.0,89
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043.0,18
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173
Gunar Cockshoot,Canada,After Nines,2022-08-04,2744.0,200
Husein Augar,New Zealand,After Nines,2022-08-04,6433.0,7
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262
Beverie Moffet,Australia,Baker'S Choco Chips,2022-08-04,3192.0,109
Ches Bonnell,Canada,Spicy Special Slims,2022-08-05,5327.0,183
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163
Gunar Cockshoot,India,Mint Chip Choco,2022-08-08,4256.0,67
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55
Husein Augar,Usa,85% Dark Bars,2022-08-08,378.0,54
Gigi Bohling,New Zealand,Raspberry Choco,2022-08-09,1127.0,176
Dotty Strutley,Usa,99% Dark & Pure,2022-08-09,3822.0,320
Brien Boise,India,85% Dark Bars,2022-08-09,18032.0,205
Gunar Cockshoot,India,50% Dark Bites,2022-08-09,12992.0,83
Gunar Cockshoot,New Zealand,After Nines,2022-08-09,7175.0,145
Brien Boise,Canada,Manuka Honey Choco,2022-08-09,6930.0,182
Andria Kimpton,Australia,Baker'S Choco Chips,2022-08-09,329.0,109
Dotty Strutley,Uk,Caramel Stuffed Bars,2022-08-10,5768.0,235
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14
Dotty Strutley,Usa,Manuka Honey Choco,2022-08-10,273.0,210
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,2527.0,216
Gunar Cockshoot,Usa,Organic Choco Syrup,2022-08-10,2331.0,321
Beverie Moffet,Uk,99% Dark & Pure,2022-08-10,3486.0,121
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140
Karlen Mccaffrey,Australia,After Nines,2022-08-11,2303.0,67
Curtice Advani,Australia,After Nines,2022-08-11,63.0,105
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15
Gunar Cockshoot,Uk,Raspberry Choco,2022-08-11,6811.0,344
Dennison Crosswaite,Usa,Baker'S Choco Chips,2022-08-11,17465.0,271
Andria Kimpton,Canada,Eclairs,2022-08-11,308.0,125
Kelci Walkden,New Zealand,Spicy Special Slims,2022-08-11,658.0,65
Kelci Walkden,Uk,99% Dark & Pure,2022-08-12,3507.0,114
Dotty Strutley,India,Spicy Special Slims,2022-08-12,910.0,204
Madelene Upcott,Uk,Peanut Butter Cubes,2022-08-12,7756.0,85
Oby Sorrel,Usa,Baker'S Choco Chips,2022-08-12,8001.0,120
Karlen Mccaffrey,Canada,Peanut Butter Cubes,2022-08-12,3094.0,159
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73
Jan Morforth,India,Choco Coated Almonds,2022-08-12,2541.0,134
Gunar Cockshoot,Usa,After Nines,2022-08-15,3738.0,261
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408
Karlen Mccaffrey,Usa,Eclairs,2022-08-15,868.0,125
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50
Dotty Strutley,India,White Choc,2022-08-15,12327.0,330
Rafaelita Blaksland,Usa,White Choc,2022-08-16,4704.0,126
Gigi Bohling,Australia,Almond Choco,2022-08-17,910.0,117
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126
Roddy Speechley,Uk,Peanut Butter Cubes,2022-08-17,5691.0,171
Jan Morforth,Uk,Manuka Honey Choco,2022-08-18,3388.0,212
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105
Curtice Advani,Canada,Choco Coated Almonds,2022-08-18,5859.0,7
Kelci Walkden,Usa,99% Dark & Pure,2022-08-18,7714.0,238
Beverie Moffet,Usa,Peanut Butter Cubes,2022-08-18,13930.0,339
Barr Faughny,India,Baker'S Choco Chips,2022-08-18,6454.0,141
Camilla Castle,Usa,White Choc,2022-08-18,9681.0,24
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205
Van Tuxwell,Canada,Choco Coated Almonds,2022-08-19,2282.0,296
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889.0,52
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662.0,242
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172
Madelene Upcott,Usa,Baker'S Choco Chips,2022-08-22,5621.0,140
Wilone O'Kielt,India,Mint Chip Choco,2022-08-22,1309.0,51
Husein Augar,India,Spicy Special Slims,2022-08-22,2492.0,33
Brien Boise,Usa,Manuka Honey Choco,2022-08-22,1904.0,8
Barr Faughny,Uk,Raspberry Choco,2022-08-22,5481.0,69
Rafaelita Blaksland,Australia,Baker'S Choco Chips,2022-08-22,2786.0,51
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406
Kaine Padly,Usa,Eclairs,2022-08-22,7623.0,10
Camilla Castle,Australia,Raspberry Choco,2022-08-23,6342.0,178
Beverie Moffet,Usa,85% Dark Bars,2022-08-23,12404.0,334
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311
Karlen Mccaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57
Andria Kimpton,Australia,85% Dark Bars,2022-08-23,4186.0,233
Karlen Mccaffrey,Usa,White Choc,2022-08-24,4592.0,2
Kelci Walkden,Australia,White Choc,2022-08-24,8715.0,168
Madelene Upcott,India,Mint Chip Choco,2022-08-24,3836.0,71
Ches Bonnell,Canada,Choco Coated Almonds,2022-08-24,15547.0,269
Curtice Advani,Usa,Mint Chip Choco,2022-08-24,4802.0,296
Jehu Rudeforth,Uk,Smooth Sliky Salty,2022-08-24,1463.0,113
Gunar Cockshoot,New Zealand,Raspberry Choco,2022-08-24,630.0,52
Rafaelita Blaksland,New Zealand,70% Dark Bites,2022-08-24,679.0,280
Rafaelita Blaksland,Canada,Fruit & Nut Bars,2022-08-24,483.0,185
Andria Kimpton,Uk,50% Dark Bites,2022-08-24,2653.0,314
Husein Augar,Uk,Spicy Special Slims,2022-08-25,4697.0,42
Barr Faughny,Canada,Manuka Honey Choco,2022-08-25,3402.0,249
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22
Oby Sorrel,India,Eclairs,2022-08-25,5663.0,322
Marney O'Breen,New Zealand,Fruit & Nut Bars,2022-08-25,8939.0,4
Barr Faughny,Usa,85% Dark Bars,2022-08-25,12761.0,47
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42
Madelene Upcott,Uk,Raspberry Choco,2022-08-26,7357.0,341
Van Tuxwell,Uk,Organic Choco Syrup,2022-08-26,2002.0,214
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,2541.0,53
Wilone O'Kielt,Uk,Milk Bars,2022-08-26,301.0,65
Husein Augar,Australia,99% Dark & Pure,2022-08-26,3087.0,128
Husein Augar,Uk,Eclairs,2022-08-30,1750.0,252
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,11200.0,22
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100
Kaine Padly,India,Spicy Special Slims,2022-08-31,5614.0,137
Camilla Castle,Uk,White Choc,2023-01-03,9957.66,194
Dotty Strutley,Usa,Raspberry Choco,2023-01-03,3590.55,47
Ches Bonnell,Uk,White Choc,2023-01-03,3730.79,237
Marney O'Breen,Australia,Smooth Sliky Salty,2023-01-03,3967.85,163
Dotty Strutley,Uk,99% Dark & Pure,2023-01-03,9865.05,273
Andria Kimpton,Canada,Caramel Stuffed Bars,2023-01-03,7990.91,343
Marney O'Breen,Canada,Spicy Special Slims,2023-01-03,3563.09,344
Barr Faughny,India,Caramel Stuffed Bars,2023-01-04,7042.98,107
Jehu Rudeforth,Uk,Mint Chip Choco,2023-01-04,5902.13,178
Jan Morforth,India,Peanut Butter Cubes,2023-01-04,8859.63,184
Andria Kimpton,Canada,Organic Choco Syrup,2023-01-04,8804.98,214
Dotty Strutley,New Zealand,Choco Coated Almonds,2023-01-04,5750.05,350
Wilone O'Kielt,Australia,Smooth Sliky Salty,2023-01-04,2496.06,45
Rafaelita Blaksland,India,Spicy Special Slims,2023-01-04,8586.04,144
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2023-01-04,420.3,224
Gunar Cockshoot,Canada,50% Dark Bites,2023-01-04,3044.01,22
Ches Bonnell,Usa,Choco Coated Almonds,2023-01-04,16240.71,93
Brien Boise,Australia,Baker'S Choco Chips,2023-01-04,12870.47,227
Jehu Rudeforth,Usa,99% Dark & Pure,2023-01-04,2815.72,222
Jan Morforth,India,Eclairs,2023-01-05,2835.9,26
Gunar Cockshoot,New Zealand,Almond Choco,2023-01-05,5752.62,125
Madelene Upcott,Australia,Fruit & Nut Bars,2023-01-05,5715.07,90
Karlen Mccaffrey,Australia,White Choc,2023-01-05,8448.39,52
Madelene Upcott,Uk,Fruit & Nut Bars,2023-01-05,9538.21,198
Kelci Walkden,India,After Nines,2023-01-07,1732.04,531
Barr Faughny,Australia,Organic Choco Syrup,2023-01-07,2478.33,33
Curtice Advani,Australia,99% Dark & Pure,2023-01-07,5363.69,87
Gigi Bohling,Uk,Almond Choco,2023-01-10,6046.4,10
Marney O'Breen,India,Peanut Butter Cubes,2023-01-10,6761.28,145
Gigi Bohling,New Zealand,Smooth Sliky Salty,2023-01-10,801.09,101
Roddy Speechley,Canada,Organic Choco Syrup,2023-01-10,4265.48,85
Van Tuxwell,Australia,70% Dark Bites,2023-01-10,8111.43,111
Curtice Advani,New Zealand,Spicy Special Slims,2023-01-10,4153.59,513
Brien Boise,Uk,Peanut Butter Cubes,2023-01-10,15337.23,31
Mallorie Waber,Uk,Milk Bars,2023-01-10,3737.68,282
Ches Bonnell,Canada,Eclairs,2023-01-10,2106.17,172
Dennison Crosswaite,Canada,Drinking Coco,2023-01-10,2924.46,25
Dennison Crosswaite,New Zealand,Drinking Coco,2023-01-11,4437.46,196
Beverie Moffet,Canada,Baker'S Choco Chips,2023-01-11,14625.75,90
Dennison Crosswaite,Australia,Baker'S Choco Chips,2023-01-11,15870.43,449
Oby Sorrel,New Zealand,Milk Bars,2023-01-12,4484.03,201
Brien Boise,Usa,Raspberry Choco,2023-01-12,683.63,202
Jan Morforth,Uk,50% Dark Bites,2023-01-12,5501.67,298
Kaine Padly,Australia,Manuka Honey Choco,2023-01-12,2919.11,271
Beverie Moffet,New Zealand,Drinking Coco,2023-01-12,1269.56,497
Barr Faughny,India,Mint Chip Choco,2023-01-12,8313.09,493
Ches Bonnell,Australia,70% Dark Bites,2023-01-12,3252.7,119
Brien Boise,India,Almond Choco,2023-01-13,2378.08,222
Marney O'Breen,Uk,99% Dark & Pure,2023-01-13,9124.16,209
Mallorie Waber,Canada,Eclairs,2023-01-13,1652.61,277
Dennison Crosswaite,Canada,Choco Coated Almonds,2023-01-13,10707.82,124
Rafaelita Blaksland,Uk,Smooth Sliky Salty,2023-01-13,4866.39,65
Jehu Rudeforth,Australia,Spicy Special Slims,2023-01-13,5147.77,402
Kelci Walkden,Canada,After Nines,2023-01-13,17073.99,218
Van Tuxwell,Australia,Mint Chip Choco,2023-01-13,2686.51,324
Marney O'Breen,India,Eclairs,2023-01-13,3883.32,94
Barr Faughny,New Zealand,Almond Choco,2023-01-13,6372.68,131
Husein Augar,Uk,White Choc,2023-01-13,10843.46,142
Van Tuxwell,Usa,50% Dark Bites,2023-01-13,10280.17,155
Gunar Cockshoot,Uk,50% Dark Bites,2023-01-13,2260.21,128
Marney O'Breen,Australia,Baker'S Choco Chips,2023-01-13,5891.94,109
Jehu Rudeforth,Canada,Spicy Special Slims,2023-01-13,2043.55,28
Wilone O'Kielt,India,Caramel Stuffed Bars,2023-01-13,4303.86,282
Jehu Rudeforth,Australia,50% Dark Bites,2023-01-14,5700.28,422
Gigi Bohling,Usa,70% Dark Bites,2023-01-14,8078.15,189
Marney O'Breen,New Zealand,Milk Bars,2023-01-14,7940.49,328
Marney O'Breen,Canada,Orange Choco,2023-01-14,2896.97,456
Jehu Rudeforth,Australia,Drinking Coco,2023-01-14,2900.61,68
Oby Sorrel,Canada,Fruit & Nut Bars,2023-01-14,1896.64,161
Gigi Bohling,Usa,After Nines,2023-01-14,2043.13,243
Kaine Padly,Uk,Manuka Honey Choco,2023-01-14,7189.18,113
Gunar Cockshoot,Australia,Drinking Coco,2023-01-14,2342.49,192
Dotty Strutley,Canada,After Nines,2023-01-17,268.3,239
Brien Boise,New Zealand,Organic Choco Syrup,2023-01-17,689.4,331
Karlen Mccaffrey,Australia,50% Dark Bites,2023-01-17,7355.77,772
Dotty Strutley,Australia,Spicy Special Slims,2023-01-17,8840.59,92
Husein Augar,Canada,Eclairs,2023-01-17,4049.61,255
Ches Bonnell,Australia,Caramel Stuffed Bars,2023-01-17,10033.52,163
Andria Kimpton,India,After Nines,2023-01-17,960.68,71
Dennison Crosswaite,Uk,Baker'S Choco Chips,2023-01-17,2276.94,296
Van Tuxwell,Australia,99% Dark & Pure,2023-01-17,114.96,132
Karlen Mccaffrey,India,White Choc,2023-01-17,8361.47,231
Van Tuxwell,New Zealand,Fruit & Nut Bars,2023-01-17,3184.03,85
Brien Boise,New Zealand,Smooth Sliky Salty,2023-01-18,1124.27,26
Camilla Castle,Australia,99% Dark & Pure,2023-01-18,4977.55,97
Andria Kimpton,India,Organic Choco Syrup,2023-01-18,3971.78,131
Dennison Crosswaite,Usa,Raspberry Choco,2023-01-18,7449.7,264
Madelene Upcott,New Zealand,Fruit & Nut Bars,2023-01-18,5766.51,21
Marney O'Breen,New Zealand,Eclairs,2023-01-18,5254.38,31
Wilone O'Kielt,Usa,Smooth Sliky Salty,2023-01-18,511.12,96
Curtice Advani,India,85% Dark Bars,2023-01-18,298.34,399
Ches Bonnell,New Zealand,Mint Chip Choco,2023-01-18,9327.52,232
Kaine Padly,Canada,Manuka Honey Choco,2023-01-18,10845.85,146
Rafaelita Blaksland,Usa,Fruit & Nut Bars,2023-01-18,2737.03,63
Rafaelita Blaksland,Australia,Raspberry Choco,2023-01-19,7773.64,247
Karlen Mccaffrey,Canada,Smooth Sliky Salty,2023-01-19,3283.44,186
Kelci Walkden,Uk,Smooth Sliky Salty,2023-01-19,6787.72,192
Husein Augar,Canada,After Nines,2023-01-19,10407.51,301
Kaine Padly,New Zealand,Eclairs,2023-01-20,13520.48,47
Gigi Bohling,New Zealand,After Nines,2023-01-21,5833.8,196
Gigi Bohling,Usa,Spicy Special Slims,2023-01-21,12450.24,57
Kaine Padly,Uk,After Nines,2023-01-21,18911.49,171
Kaine Padly,India,70% Dark Bites,2023-01-24,13535.7,296
Madelene Upcott,Canada,70% Dark Bites,2023-01-24,12100.65,142
Gigi Bohling,Australia,Smooth Sliky Salty,2023-01-25,5884.09,117
Wilone O'Kielt,Australia,Baker'S Choco Chips,2023-01-25,2995.47,156
Oby Sorrel,Uk,99% Dark & Pure,2023-01-25,14673.2,175
Camilla Castle,New Zealand,Spicy Special Slims,2023-01-25,12557.56,26
Karlen Mccaffrey,Uk,Eclairs,2023-01-25,7901.09,200
Gunar Cockshoot,Australia,Almond Choco,2023-01-25,4101.26,425
Jehu Rudeforth,Canada,White Choc,2023-01-25,4719.38,132
Kelci Walkden,Uk,Eclairs,2023-01-25,5029.35,61
Barr Faughny,New Zealand,Smooth Sliky Salty,2023-01-25,4552.15,172
Beverie Moffet,Australia,Smooth Sliky Salty,2023-01-25,11682.62,506
Rafaelita Blaksland,Australia,Organic Choco Syrup,2023-01-26,1123.58,114
Marney O'Breen,Usa,Baker'S Choco Chips,2023-01-26,9718.87,10
Karlen Mccaffrey,India,Fruit & Nut Bars,2023-01-26,189.37,315
Dotty Strutley,Australia,Eclairs,2023-01-26,7770.55,3
Oby Sorrel,Australia,Manuka Honey Choco,2023-01-26,4194.44,80
Madelene Upcott,India,Organic Choco Syrup,2023-01-26,5418.75,37
Rafaelita Blaksland,India,Mint Chip Choco,2023-01-26,15473.0,91
Madelene Upcott,Uk,99% Dark & Pure,2023-01-26,11796.63,45
Curtice Advani,New Zealand,Mint Chip Choco,2023-01-26,3691.63,284
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,7807.74,355
Karlen Mccaffrey,Australia,99% Dark & Pure,2023-01-26,11303.07,166
Ches Bonnell,India,Peanut Butter Cubes,2023-01-27,23251.68,210
Husein Augar,New Zealand,Caramel Stuffed Bars,2023-01-27,571.52,489
Karlen Mccaffrey,Usa,Milk Bars,2023-01-27,4764.56,7
Curtice Advani,New Zealand,50% Dark Bites,2023-01-27,10791.46,88
Marney O'Breen,Usa,Orange Choco,2023-01-27,8692.64,184
Kelci Walkden,Usa,Almond Choco,2023-01-27,5425.24,234
Dennison Crosswaite,India,Organic Choco Syrup,2023-01-27,8693.31,209
